Date,Close,Volume,OC_Change,Daily_Return,RSI_14,MACD_Histogram,ROC_5,ROC_21,Dist_SMA_20,Dist_SMA_50,Dist_SMA_200,BB_Width,TR,Volume_MA_10,Volume_Change_Ratio,CMF_20,OBV,OBV_Slope_10,Return_Lag_1,Return_Lag_2,Return_Lag_3,Return_Lag_5,Kyle_Lambda_Proxy,Kyle_Lambda_20,Target,ATR_Pct
2018-10-29,807.581298828125,2473393,16.302484791046822,2.8318325607002537,55.93380130791364,5.788888168521481,7.0921773425552725,1.847311533304285,4.414425699123005,-0.9780941731462038,-5.180714827749172,8.954117372451707,26.814003437407337,2540979.9,0.9734012457162688,8.765767557643996e-05,93311408.0,477842.5,1.9778830638130571,-0.0441968939541514,1.7219233935880318,-1.762401549008907,1.1449181592655327e-06,5.06137110045415e-07,1,3.6959460025857065
2018-10-30,808.3110961914062,1876874,1.4599237137713317,0.0903682842012587,56.11127852902503,6.966252483464746,6.720642507574315,1.1016976260199485,4.345307048508744,-0.6915204991511412,-5.054213547955203,9.746340461455206,21.412214468646425,2505224.3,0.7491840151797985,0.01702091614094,95188282.0,442086.9,2.8318325607002537,1.9778830638130571,-0.0441968939541514,0.4388206322183396,4.81482956241382e-08,4.778779706518603e-07,1,3.6180660242386176
2018-10-31,822.034423828125,2435865,6.910282392479189,1.6977779596717424,59.42092073225499,8.316183173642314,6.695310542397048,4.841110768946222,5.885044190704334,1.1905375221507215,-3.3994705342909137,11.072948640781988,28.61453093576085,2514106.0,0.9688791960243522,0.0190082737909002,97624147.0,450968.6,0.0903682842012587,2.8318325607002537,1.9778830638130571,1.7219233935880318,6.96991811808841e-07,5.021961558162454e-07,1,3.5521844856125204
2018-11-01,831.621337890625,2485725,9.586869349965925,1.166242408420648,61.59947965842459,9.420579012682786,7.987363562296124,5.5202310012363975,6.718883186551135,2.53035672834214,-2.2312573885505302,12.711108936379365,27.738554381505537,2465120.6,1.008358374028435,0.0668736246048213,100109872.0,997099.0,1.6977779596717424,0.0903682842012587,2.8318325607002537,-0.0441968939541514,4.6917595808894717e-07,4.985860392632242e-07,1,3.49868097007888
2018-11-02,847.7291259765625,3078543,10.706108364801594,1.936913755338976,64.9995115039325,10.707859650089013,7.943979963066883,9.628705728428333,8.149053211830175,4.693541988600409,-0.3132650110110718,14.515806124302348,28.7604616079758,2483723.4,1.2394870539932104,0.0761209951879315,103188415.0,1594204.8,1.166242408420648,1.6977779596717424,0.0903682842012587,1.9778830638130571,6.291657304572247e-07,5.05583248320288e-07,0,3.4293768453265114
2018-11-05,840.6241455078125,1903690,-6.131668149038546,-0.8381191881976724,62.37604586454408,10.53649751988001,4.091581457821736,11.201247268975068,6.768033764866843,3.961039341100464,-1.1265521571950223,15.71834529789932,15.426563971936956,2397467.7,0.7940419802110368,0.1351533377015031,101284725.0,1680460.5,1.936913755338976,1.166242408420648,1.6977779596717424,2.8318325607002537,4.40260330304657e-07,5.141959701652863e-07,0,3.342417049108108
2018-11-06,823.640380859375,2504504,-22.142178628715897,-2.0203755434811788,56.50509243605997,8.805413710695525,1.8964585219969357,6.836265885775128,4.399911736218859,2.0326979249203045,-3.094430716967805,16.215601930271504,36.40073274035933,2423929.8,1.0332411441948526,0.064815509461212,98780221.0,1206021.8,-0.8381191881976724,1.936913755338976,1.166242408420648,0.0903682842012587,8.066968723073226e-07,5.203539404191209e-07,1,3.4833499454155925
2018-11-07,827.4360961914062,331169,-4.720396106813723,0.4608461921294937,57.46857765410638,7.493501392418016,0.6571102385379834,4.498792538179641,4.233901644378235,2.655770780514451,-2.612103875608947,15.029310278208309,9.440741644510013,2250988.7,0.1471215737333554,0.1681856232048512,99111390.0,1033080.7,-2.0203755434811788,-0.8381191881976724,1.936913755338976,1.6977779596717424,1.3915740668042412e-06,5.446024755956692e-07,0,3.3011987377707666
2018-11-09,825.0029907226562,3528039,-7.153603097373207,-0.2940535806872923,56.603015622637685,6.098502258198645,-0.7958366225614077,13.09539109169522,3.5522257660780308,2.447181502471719,-2.8774078167237795,15.024820144928691,20.438933883299,2435658.0,1.448495232089234,0.0338396574237276,95583351.0,848411.4,0.4608461921294937,-2.0203755434811788,-0.8381191881976724,1.166242408420648,8.334759924345859e-08,5.130109884835687e-07,1,3.251399151878435
2018-11-12,870.8446044921875,13985301,36.74141807161777,5.556539101679681,66.76085317546737,7.791434160142656,2.7267528986923306,13.467765998665238,8.538092614554623,8.129636253420502,2.5159917765118944,16.330151472861786,56.74236357805785,3460310.3,4.04163204669824,0.1946168400818131,109568652.0,1873063.7,-0.2940535806872923,0.4608461921294937,-2.0203755434811788,1.936913755338976,3.973128001806812e-07,5.16631305308052e-07,1,3.32563996451432
